symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of,negative_revenue_flag
APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment,11049154560.0,664902976.0,6.02,1238695040.0,21476565084.0,60.95,10.2,0.55,2.1279,0.0,74861000.0,2026-07-11,ok,INR,OK,12860739000.0,,1262816000.0,1.366,0.539,13.871,0.00478,0.06,,23667036160.0,823417024.0,351888992.0,-1110408320.0,2.7483962,477.66354,2026-07-12,126175000.0,3930667000.0,74861000.0,326482000.0,351889000.0,286655000.0,12860739000.0,12292925000.0,282215000.0,412771000.0,4711970000.0,4905742000.0,3449154000.0,2883679000.0,11014232000.0,11783683000.0,8124481000.0,8623545000.0,43919356.0,43905856.0,2026-07-23,False
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,284706013184.0,36967190528.0,12.98,36752297984.0,271155984958.12994,49.67,14.2,8.72,8.0229,0.01,13724160000.0,2026-07-11,ok,INR,OK,292397170000.0,104176720000.0,26145750000.0,1.323,0.554,21.987,0.05748,0.142,,304100114432.0,11051230208.0,36673679360.0,19853250560.0,1.6663133,20.327946,2026-07-12,16973260000.0,125245500000.0,13724160000.0,11213200000.0,36673680000.0,18231390000.0,292397170000.0,273060200000.0,15017620000.0,18291940000.0,106983270000.0,98153320000.0,80837520000.0,73603050000.0,282144670000.0,257809730000.0,157032220000.0,148302490000.0,632581334.0,635100946.0,2026-07-23,False
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services,6316593152.0,295222016.0,4.67,907691008.0,3090055446.9726562,,30.1,6.93,10.8694,0.0,105034000.0,2026-07-11,ok,INR,OK,3850995000.0,,893019000.0,1.52,1.364,57.786,0.02888,-0.261,,2938029056.0,1115601024.0,401099008.0,-202784128.0,2.0027835,29.940624,2026-07-12,231956000.0,2280212000.0,105034000.0,77249000.0,401099000.0,213275000.0,3850995000.0,3155761000.0,149421000.0,18161000.0,2609989000.0,2106669000.0,1716970000.0,1194359000.0,6316593000.0,5438978000.0,5480164000.0,4761543000.0,2600400.0,2600400.0,2026-07-23,False
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,15355290624.0,,0.0,79037685760.0,144954463548.39258,26.44,22.1,20.11,,0.0,9429439488.0,2026-07-11,ok,INR,OK,130476573000.0,,,183.595,182.993,156.2,0.07764,0.694,,215005773824.0,5907395072.0,-5924092928.0,,2.803849,15.063693,2026-07-12,,79876190000.0,9429439000.0,7512461000.0,-5924093000.0,-14048398000.0,130476573000.0,112434082000.0,,,,,,,15970368000.0,12578874000.0,,,500742736.0,499814138.0,2026-07-23,False
AQYLON,Aqylon Nexus Limited,Communication Services,Broadcasting,132044000.0,9346000.0,7.08,180672992.0,7185649381.767578,77.7,180.2,,,32.43,57580000.0,2026-07-11,ok,INR,OK,136737000.0,,-87821000.0,0.419,0.384,,0.01089,-0.034,,9951067136.0,25716000.0,65967000.0,-205273504.0,-172.37886,170.13043,2026-07-12,102208000.0,193515000.0,57580000.0,-223683000.0,65967000.0,-26219000.0,136737000.0,552942000.0,,,63295000.0,317272000.0,151116000.0,644344000.0,132044000.0,60134000.0,99356000.0,17112000.0,253730560.0,253730560.0,2026-07-23,False
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,6707018240.0,423184992.0,6.31,1824672000.0,1605238101.75,69.89,10.7,7.39,15.9256,0.0,79763000.0,2026-07-11,ok,INR,OK,3873661000.0,,301614000.0,1.147,0.732,163.098,0.046469998,0.145,,3433342208.0,7611000.0,341171008.0,163143504.0,1.4447042,20.303484,2026-07-12,289367000.0,2754906000.0,79763000.0,-73580000.0,341171000.0,-233576000.0,3873661000.0,3923929000.0,603290000.0,610064000.0,2358287000.0,2322643000.0,2056673000.0,2180876000.0,6707018000.0,5559129000.0,4458623000.0,3785901000.0,19865000.0,19865000.0,2026-07-23,False
ARCHIES,Archies Limited,Consumer Cyclical,Specialty Retail,552387008.0,-17901000.0,-3.24,432646016.0,469541987.11395264,63.54,-45.6,-3.36,-0.6569,0.0,-42970000.0,2026-07-11,ok,INR,OK,1854317000.0,,294322000.0,1.661,0.12,34.565,-0.022869999,0.695,,896218048.0,2094000.0,36715000.0,13918000.0,0.3720351,,2026-07-12,-9256000.0,602636000.0,-42970000.0,-14629000.0,36715000.0,76664000.0,1854317000.0,1967753000.0,26489000.0,262000.0,739511000.0,775848000.0,445189000.0,471052000.0,552387000.0,687532000.0,200057000.0,260309000.0,33780000.0,33780000.0,2026-07-23,False
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts,138139992064.0,14970999808.0,10.84,4061600000.0,162251985186.0,33.28,15.5,11.57,14.3935,0.0,8957700096.0,2026-07-11,ok,INR,OK,114567200000.0,,17703500000.0,1.641,0.584,5.015,0.05144,0.831,1.31,163296329728.0,3706099968.0,11182900224.0,-2894550016.0,2.0118716,18.182838,2026-07-12,12514100000.0,33577600000.0,8957700000.0,9446700000.0,11182900000.0,13513100000.0,114567200000.0,101682900000.0,,0.0,45327900000.0,42466500000.0,27624400000.0,23133300000.0,138140000000.0,128463200000.0,93751500000.0,86795400000.0,183025364.0,183025364.0,2026-07-23,False
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining,5738000.0,-3299000.0,-57.49,0.0,159945772.89933014,64.85,56.9,-0.83,0.2054,0.0,-1765000.0,2026-07-11,ok,INR,OK,206016000.0,,58190000.0,38.087,9.776,,-0.01043,0.205,,111305696.0,1023000.0,-4129000.0,-4686260.0,0.54949826,,2026-07-12,420000.0,1596000.0,-1765000.0,2349000.0,-4129000.0,-8814000.0,206016000.0,221542080.0,0.0,0.0,59759000.0,57616950.0,1569000.0,2134940.0,5738000.0,15728000.0,5181000.0,11033000.0,3108300.0,3108300.0,2026-07-23,False
ARFIN,Arfin India Limited,Basic Materials,Aluminum,6179917824.0,461612992.0,7.47,1292659968.0,15508970236.499908,78.16,26.0,9.45,21.5472,0.0,154512992.0,2026-07-11,ok,INR,OK,3714002000.0,,1212155000.0,1.695,0.225,75.884,0.07251,0.465,,16498060288.0,89562000.0,224747008.0,-105303504.0,8.978468,97.445656,2026-07-12,424348000.0,2010534000.0,154513000.0,91463000.0,224747000.0,-212047000.0,3714002000.0,3442112000.0,171372000.0,229426000.0,2956766000.0,2755870000.0,1744611000.0,1588288000.0,6179918000.0,6157538000.0,5112194000.0,5167220000.0,168722482.0,168722482.0,2026-07-23,False
