symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date
CARYSIL,Carysil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9239499776.0,1771699968.0,19.18,2825400064.0,33366020096.0,47.8,14.5,17.28,21.9838,0.0,981900032.0,2026-07-11,ok,INR,OK,10421800000.0,,1596400000.0,1.441,0.608,45.99,0.08484,0.551,,35692818432.0,585800000.0,1086700032.0,-364562496.0,5.4886236,34.012756,2026-07-12
CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,58503598080.0,13612874752.0,23.27,628099968.0,181840248832.0,51.31,8.7,,65.015,0.0,9586499584.0,2026-07-11,ok,INR,OK,33948500000.0,12888200000.0,9364500000.0,,,3.305,,0.319,,170525753344.0,11942599680.0,,,9.569019,18.972137,2026-07-12
CCAVENUE,AvenuesAI Limited,Technology,Software - Infrastructure,81158496256.0,3551600128.0,4.38,4295300096.0,63006457856.0,53.15,114.5,6.69,6.4564,0.0,2790400000.0,2026-07-11,ok,INR,OK,73019300000.0,,17428800000.0,2.008,0.754,8.63,0.02747,0.099,,46023901184.0,11894899712.0,5365199872.0,-5929495040.0,1.0811133,19.462366,2026-07-12
CCCL,Consolidated Construction Consortium Limited,Industrials,Engineering & Construction,2947077888.0,-201304992.0,-6.83,3000000.0,7250905600.0,66.46,129.5,26.56,23.6548,0.0,635422016.0,2026-07-11,ok,INR,OK,4952008000.0,,1260096000.0,1.625,0.73,0.108,-0.03042,6.185,,6820782080.0,433124000.0,-978502016.0,-1699131392.0,2.6009614,9.169492,2026-07-12
CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging,1162269952.0,202758000.0,17.45,235484000.0,2098887296.0,76.72,51.3,-5.74,-3.8518,0.0,-176340992.0,2026-07-11,ok,INR,OK,5194684000.0,,-183456000.0,0.739,0.105,7.896,0.00932,0.219,,2321249536.0,13587000.0,-261271008.0,52590124.0,0.7039088,,2026-07-12
CCL,CCL Products (India) Limited,Consumer Defensive,Packaged Foods,44658044928.0,7413747200.0,16.6,13243601920.0,161859026944.0,49.22,46.4,18.0,20.7519,0.0,3881060096.0,2026-07-11,ok,INR,OK,43262909000.0,,7234406000.0,1.487,0.696,56.487,0.086,-0.068,,172745048064.0,2175539968.0,8582854144.0,5624715264.0,6.8958464,41.66095,2026-07-12
CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets,12353566720.0,6503099904.0,52.64,21998000.0,299267096576.0,0.0,4.2,23.91,29.7428,0.0,4561317888.0,2026-07-11,ok,INR,OK,24190315000.0,,7111343000.0,2.917,2.464,0.11,0.16639,0.213,,291622092800.0,8091618816.0,4666216960.0,2601876224.0,15.270506,65.80423,2026-07-12
CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts,156780003328.0,20472000512.0,13.06,32720900096.0,155984527360.0,48.37,23.3,14.79,17.6115,0.0,6980199936.0,2026-07-11,ok,INR,OK,139022400000.0,,-20517800000.0,0.68,0.293,64.742,0.06718,0.451,,166508150784.0,433000000.0,17855500288.0,-446849984.0,2.6583397,22.37098,2026-07-12
CEIGALL,CEIGALL INDIA LIMITED,Industrials,Engineering & Construction,40224010240.0,5854329856.0,14.55,13111390208.0,63724138496.0,82.06,37.1,15.48,19.5133,0.0,3118870016.0,2026-07-11,ok,INR,OK,55233560000.0,,10641900000.0,1.415,0.962,61.085,0.067,,,71906770944.0,3786789888.0,-912830016.0,1079291264.0,2.9230793,20.620068,2026-07-12
CEINSYS,Ceinsys Tech Limited,Industrials,Engineering & Construction,6607000064.0,1460300032.0,22.1,567400000.0,19619633152.0,69.9,19.9,24.59,23.6874,12.44,1334200064.0,2026-07-11,ok,INR,OK,9298200000.0,,5361900000.0,3.194,1.991,8.43,0.11165,-0.289,,14817564672.0,2916000000.0,34900000.0,-1696775040.0,2.550469,13.812648,2026-07-12
