symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of,negative_revenue_flag
PREMIER,Premier Limited,Industrials,Specialty Industrial Machinery,107554000.0,-897033472.0,0.0,,94475223.5770948,45.353,-71.8,,,0.0,-1826323968.0,2026-07-21,ok,INR,OK,1788670000.0,,-4887342000.0,0.329,0.071,,,,,,,,,-0.024625976,,2026-08-03,-46500000.0,5226592000.0,-58700000.0,-81400000.0,-16069000.0,-16047000.0,1788670000.0,1833808000.0,,0.0,233128000.0,223418000.0,5120470000.0,5091327000.0,0.0,0.0,,0.0,30372570.0,30372570.0,2026-08-03,False
PRITI,Priti International Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",257432992.0,-7410000.0,-2.878,0.0,508628303.6475563,,-62.0,1.254,1.7516,0.0,9015000.0,2026-07-21,ok,INR,OK,782366000.0,,390821000.0,7.854,0.628,,-0.01033,-0.116,,491180832.0,5257000.0,11852000.0,-4002500.0,0.69849074,55.602943,2026-08-03,12705000.0,60764000.0,9015000.0,47539000.0,11852000.0,-61839000.0,782366000.0,783933000.0,0.0,3448000.0,447846000.0,448866000.0,57025000.0,63766000.0,257434000.0,770635000.0,161348000.0,599129000.0,13353328.0,13353328.0,2026-08-03,False
PRITIKAUTO,Pritika Auto Industries Limited,Industrials,Specialty Industrial Machinery,4829454848.0,710337024.0,14.708,1941100032.0,2962260498.3769,64.461,36.2,8.741,13.8181,0.0,210636000.0,2026-07-21,ok,INR,OK,5741970000.0,,599739000.0,1.316,0.223,70.81,0.05926,0.276,,4976018944.0,113058000.0,711515008.0,-245149504.0,1.1813333,14.063492,2026-08-03,530788000.0,3000704000.0,210636000.0,222274000.0,711515000.0,346181000.0,5741970000.0,5028427000.0,878643000.0,754609000.0,2500463000.0,2290191000.0,1900724000.0,1567625000.0,4829455000.0,3568865000.0,2517215000.0,1751708000.0,166512667.0,166512667.0,2026-08-03,False
PRUDMOULI,Prudential Sugar Corporation Ltd.,Consumer Defensive,Confectioners,,,0.0,,433789393.8484192,56.548,,,7.6629,0.0,,2026-07-21,ok,INR,OK,1931338000.0,,1482004000.0,,,,,,,,,,,,7.236559,2026-08-03,121036000.0,749041000.0,61640000.0,57407000.0,129032000.0,-198336000.0,1931338000.0,1935662000.0,397205000.0,424336000.0,1833839000.0,1909887000.0,351835000.0,390064000.0,913030000.0,924052000.0,905112000.0,914450000.0,32252000.0,32252000.0,2026-08-03,False
QPOWER,QUALITY POWER ELEC EQUP L,Industrials,Electrical Equipment & Parts,9472740352.0,1764920064.0,18.632,401750016.0,89145901619.2749,75.46,159.2,27.147,27.3133,0.0,1213360000.0,2026-07-21,ok,INR,OK,11119620000.0,,4375020000.0,2.485,1.684,5.195,0.10611,,,87950737408.0,2530749952.0,802840000.0,-1096802560.0,16.545221,74.04092,2026-08-03,2232380000.0,3386930000.0,1213360000.0,661720000.0,802840000.0,550780000.0,11119620000.0,8140580000.0,64330000.0,3160000.0,7321400000.0,5446640000.0,2946380000.0,1875650000.0,9472740000.0,3382710000.0,5709000000.0,2002700000.0,77444100.0,77444100.0,2026-08-03,False
QUICKHEAL,Quick Heal Technologies Limited,Technology,Software - Application,2610200064.0,-293700000.0,-11.252,1100000.0,8627101818.0,74.122,-25.2,-2.49,-4.6592,0.0,-109300000.0,2026-07-21,ok,INR,OK,5469900000.0,,2603600000.0,,,0.025,,,,,,,,2.0326138,,2026-08-03,-204400000.0,1104700000.0,-109300000.0,50400000.0,153900000.0,-222900000.0,5469900000.0,5250400000.0,,,3686500000.0,3711200000.0,1082900000.0,787100000.0,2610200000.0,2795300000.0,1871800000.0,1926800000.0,54245455.0,54006608.0,2026-08-03,False
RACE,Race Eco Chain Limited,Industrials,Waste Management,6187549184.0,142035008.0,2.295,900484992.0,1930908097.467041,59.918,-5.9,8.872,19.6512,0.0,67643000.0,2026-07-21,ok,INR,OK,2155098000.0,,287747000.0,1.226,0.909,104.095,0.03898,0.348,,2646404352.0,163508992.0,188735008.0,-166995248.0,2.4594636,26.427896,2026-08-03,173780000.0,1290041000.0,67643000.0,38929000.0,188735000.0,-428629000.0,2155098000.0,1823356000.0,15309000.0,0.0,1558524000.0,1410154000.0,1270777000.0,1041690000.0,6187549000.0,5550954000.0,5967101000.0,5397535000.0,17257200.0,17257200.0,2026-08-03,False
RAJESHEXPO,Rajesh Exports Limited,Consumer Cyclical,Luxury Goods,7789891551232.0,3800460032.0,0.049,10158950400.0,25141385959.380943,67.819,19.0,0.677,1.864,0.0,1124979968.0,2026-07-21,ok,INR,OK,408925490000.0,,43278960000.0,1.186,0.388,5.833,0.00583,0.834,0.25,10576838656.0,26152200192.0,3717829888.0,2198610688.0,0.14513962,22.25722,2026-08-03,3276480000.0,234758460000.0,1124980000.0,948700000.0,3717830000.0,77375540000.0,408925490000.0,293723388000.0,,,276423470000.0,172387556000.0,233144510000.0,134353672000.0,7787160400000.0,4230993230000.0,7780242660000.0,4225939650000.0,295259959.0,295259959.0,2026-08-03,False
RAJOOENG,Rajoo Engineers Limited,Industrials,Specialty Industrial Machinery,3839738880.0,655929024.0,17.083,,9442988962.41314,62.304,48.6,,17.9113,0.0,482563008.0,2026-07-21,ok,INR,OK,6743866000.0,,889716000.0,,,6.767,,0.473,,8749319168.0,1036526016.0,,,2.7544377,19.49814,2026-08-03,669945000.0,3148271000.0,477430000.0,381163000.0,678131000.0,676551000.0,6743866000.0,3243938000.0,84493000.0,0.0,3893226000.0,2523114000.0,3003510000.0,1566445000.0,3442529000.0,2536551000.0,1918505000.0,1418779000.0,178675293.0,163996393.0,2026-08-03,False
RAJRILTD,Raj Rayon Industries Limited,Consumer Cyclical,Textile Manufacturing,11797170176.0,637008000.0,5.4,2224926976.0,11948765933.276894,97.764,43.2,24.372,16.3239,0.0,339928000.0,2026-07-21,ok,INR,OK,5983042000.0,,-398923000.0,0.863,0.269,142.191,0.051570002,-1.002,,13905238016.0,480135008.0,1190600960.0,376033632.0,9.060632,50.52381,2026-08-03,502272000.0,4418296000.0,339928000.0,138061000.0,1190601000.0,368227000.0,5983042000.0,5002899000.0,1507837000.0,1597187000.0,2507202000.0,1816896000.0,2906125000.0,2176833000.0,11797170000.0,8493794000.0,9342102000.0,6924702000.0,556082495.0,556082495.0,2026-08-03,False
RAMASTEEL,Rama Steel Tubes Limited,Basic Materials,Steel,11241191424.0,169856992.0,1.511,1297049984.0,7034976526.050053,43.025,-16.0,2.558,5.5884,0.0,125817000.0,2026-07-21,ok,INR,OK,8904119000.0,,2849431000.0,1.802,0.865,26.867,0.00847,0.918,,7191363072.0,53908000.0,-1087597952.0,-344375872.0,1.2615844,60.28571,2026-08-03,299070000.0,4076467000.0,125817000.0,227550000.0,-1087598000.0,510237000.0,8904119000.0,7579739000.0,504493000.0,68777000.0,6401958000.0,6259331000.0,3552527000.0,3760534000.0,11241191000.0,10480522000.0,10713329000.0,9819790000.0,1636040979.0,1554231075.0,2026-08-03,False
