symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of,negative_revenue_flag
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9538325504.0,1230866048.0,12.9,1560039936.0,6527650198.814545,55.16,14.8,14.48,18.8829,0.0,668256000.0,2026-07-11,ok,INR,OK,7562226000.0,3978873000.0,1998537000.0,,,32.043,,0.717,,7592759296.0,735836032.0,,,1.3928715,9.942708,2026-08-16,1018019000.0,2693674000.0,668256000.0,623763000.0,1035949000.0,317864000.0,7562226000.0,7145086000.0,174497000.0,222079000.0,4169528000.0,3731372000.0,2170991000.0,2193068000.0,9516757000.0,9116589000.0,6032266000.0,5845041000.0,35286502.0,35286502.0,2026-08-14,False
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,-168779008.0,-239438000.0,0.0,0.0,460950016.0217285,72.41,,-57.21,-72.1721,0.0,-240474000.0,2026-07-11,ok,INR,OK,395560000.0,-150523000.0,122582000.0,2.928,1.523,,-0.30996,0.504,,418039008.0,35456000.0,-23686000.0,13173875.0,1.3991678,,2026-08-16,-239589000.0,64990000.0,-240474000.0,123377000.0,-23686000.0,51478000.0,395560000.0,570650000.0,,,186173000.0,316104000.0,63591000.0,58581000.0,-168779000.0,1128817000.0,61766000.0,922052000.0,10500000.0,10500000.0,2026-08-14,True
360ONE,360 One Wam Limited,Financial Services,Asset Management,44772601856.0,28223399936.0,63.04,159313100800.0,479193360352.16455,17.0,26.9,14.39,10.2023,0.0,12161699840.0,2026-07-11,ok,INR,OK,272013500000.0,,127311200000.0,,,161.977,,0.47,,624233218048.0,14815899648.0,,,4.8653173,39.215687,2026-08-16,26671200000.0,173658000000.0,12161700000.0,10153000000.0,-29210600000.0,-24621700000.0,272013500000.0,197687000000.0,153202700000.0,29494400000.0,137901000000.0,112571400000.0,10589800000.0,93302000000.0,31381300000.0,26353100000.0,12197000000.0,9713100000.0,406138438.0,393073939.0,2026-08-14,False
3BBLACKBIO,3B Blackbio Dx Limited,,,1419181056.0,585150976.0,41.23,31066000.0,,66.02,57.5,19.89,,,585859008.0,2026-07-11,ok,INR,OK,,,,,,0.937,,,,,,,,3.0244198,,2026-08-16,,,,,,,,,,,,,,,,,,,,,2026-08-14,False
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,6933600256.0,-180000000.0,-2.6,615699968.0,5517246010.709038,13.34,-6.0,10.26,11.8226,0.0,354600000.0,2026-07-11,ok,INR,OK,6621700000.0,,323700000.0,,,16.298,,-0.276,,5421732352.0,776000000.0,,,1.5117519,15.055866,2026-08-16,491700000.0,2843900000.0,354600000.0,253500000.0,-435800000.0,315600000.0,6621700000.0,5728200000.0,70200000.0,70000000.0,2786400000.0,2622300000.0,2462700000.0,2219800000.0,6933600000.0,7257600000.0,6361300000.0,6475600000.0,207403767.0,179055134.0,2026-08-14,False
3MINDIA,3M India Limited,Industrials,Conglomerates,50897600512.0,9857599488.0,19.37,1697500032.0,408809390300.0,76.48,16.8,28.9,47.5368,0.0,5223199744.0,2026-07-11,ok,INR,OK,31372500000.0,17574600000.0,13773500000.0,2.182,1.419,9.6,0.19415002,0.273,,391683670016.0,8121399808.0,5137200128.0,4872312320.0,22.51549,68.965515,2026-08-16,9375300000.0,13691000000.0,5223200000.0,4760700000.0,5137200000.0,3551100000.0,31372500000.0,30145917000.0,,,25423800000.0,24406715000.0,11650300000.0,10429558000.0,50897600000.0,44455600000.0,29333200000.0,26494100000.0,11265070.0,11265070.0,2026-08-14,False
3PLAND,3P Land Holdings Ltd,,,,,,,,,,,1.8682,0.0,,2026-07-11,ok,INR,OK,1123202000.0,248588000.0,1105461000.0,,,,,,,,,,,,,2026-08-16,20953000.0,76632000.0,21781000.0,20902000.0,588000.0,11711000.0,1123202000.0,1534938000.0,,,1107119000.0,1518560000.0,1658000.0,1586000.0,38583000.0,36586000.0,71000.0,43000.0,18000000.0,18000000.0,2026-08-14,False
5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,2873612032.0,,0.0,3785600000.0,18189151716.0,71.24,6.4,7.05,4.9699,0.0,441855008.0,2026-07-11,ok,INR,OK,19071252000.0,,16987160000.0,,,58.31,,0.662,,6686674432.0,14177139712.0,,,1.8493444,29.40996,2026-08-16,918214000.0,12579010000.0,441855000.0,682331000.0,-1037056000.0,979350000.0,19071252000.0,16666280000.0,3785600000.0,2174160000.0,17582740000.0,15732620000.0,595580000.0,10535680000.0,1810179000.0,2291565000.0,886241000.0,740300000.0,31251838.0,31233338.0,2026-08-14,False
63MOONS,63 moons technologies limited,Technology,Software - Application,2115934976.0,-2816858880.0,-133.13,54222000.0,36478074941.01428,58.13,519.5,-1.52,-0.9619,0.0,-223943008.0,2026-07-11,ok,INR,OK,38865852000.0,,21169051000.0,,,0.149,,,,,,,,1.020526,,2026-08-16,-354040000.0,2370628000.0,-224337000.0,-331704000.0,-2929724000.0,-1427828000.0,38865852000.0,36785417000.0,25694000.0,,23228978000.0,23946828000.0,2059927000.0,2217552000.0,2106298000.0,466381000.0,2050371000.0,1200970000.0,46078537.0,46078537.0,2026-08-14,False
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,3848508928.0,206873504.0,5.38,912934976.0,2657509746.663584,36.77,28.9,17.871,23.782,99.68,23833000.0,2026-07-11,ok,INR,OK,4606685000.0,,-634363000.0,,,301.806,,,,,,,,5.2533903,58.88,2026-08-16,150075000.0,4286449000.0,43729000.0,89731000.0,-166145000.0,542143000.0,4606685000.0,4984243000.0,7511000.0,6926000.0,3205575000.0,3301438000.0,3839938000.0,4264157000.0,3864379000.0,3362675000.0,1788229000.0,1332430000.0,176119858.0,176119858.0,2026-08-14,False
