timestamp,symbol,outcome,detail
2026-07-21T21:26:38,FEL,ok,14/56 fields blank
2026-07-21T21:26:41,FELDVR,ok,14/56 fields blank
2026-07-21T21:26:44,FILATFASH,ok,2/56 fields blank
2026-07-21T21:26:47,FLEXITUFF,ok,6/56 fields blank
2026-07-21T21:26:50,FLFL,ok,15/56 fields blank
2026-07-21T21:26:53,FMNL,ok,2/56 fields blank
2026-07-21T21:26:55,FOCUS,ok,3/56 fields blank
2026-07-21T21:26:58,GANGAFORGE,ok,5/56 fields blank
2026-07-21T21:27:01,GAUDIUMIVF,ok,3/56 fields blank
2026-07-21T21:27:04,GAYAPROJ,ok,4/56 fields blank
2026-07-21T21:27:07,GEECEE,ok,5/56 fields blank
2026-07-21T21:27:10,GINNIFILA,ok,2/56 fields blank
2026-07-21T21:27:13,GLFL,ok,3/56 fields blank
2026-07-21T21:27:16,GLOBALE,ok,5/56 fields blank
2026-07-21T21:27:19,GLOBECIVIL,ok,3/56 fields blank
2026-07-21T21:27:22,GLOTTIS,ok,5/56 fields blank
2026-07-21T21:27:42,GOLDENTOBC,ok,32/56 fields blank
2026-07-21T21:27:45,GOLDTECH,ok,3/56 fields blank
2026-07-21T21:27:48,GRADIENTE,ok,27/56 fields blank
2026-07-21T21:27:50,GSS,ok,3/56 fields blank
2026-07-21T21:27:53,GTECJAINX,ok,3/56 fields blank
2026-07-21T21:27:56,GUJENERGY,ok,2/56 fields blank
2026-07-21T21:27:59,GULFPETRO,ok,3/56 fields blank
2026-07-21T21:28:02,GVKPIL,ok,6/56 fields blank
2026-07-21T21:28:22,HALDYNGL,ok,30/56 fields blank
2026-07-21T21:28:25,HBSL,ok,4/56 fields blank
2026-07-21T21:28:28,HDIL,ok,6/56 fields blank
2026-07-21T21:28:30,HILINFRA,ok,3/56 fields blank
2026-07-21T21:28:33,HILTON,ok,2/56 fields blank
2026-07-21T21:28:36,HINDCON,ok,6/56 fields blank
2026-07-21T21:28:39,HITECHCORP,ok,2/56 fields blank
2026-07-21T21:28:42,HITECHGEAR,ok,13/56 fields blank
2026-07-21T21:28:44,HMT,ok,12/56 fields blank
2026-07-21T21:28:47,HYBRIDFIN,ok,4/56 fields blank
2026-07-21T21:28:50,IBULLSLTD,ok,3/56 fields blank
2026-07-21T21:28:53,IDEAFORGE,ok,3/56 fields blank
2026-07-21T21:28:56,IFBAGRO,ok,1/56 fields blank
2026-07-21T21:28:59,INDOAMIN,ok,2/56 fields blank
2026-07-21T21:29:02,INDOTECH,ok,2/56 fields blank
2026-07-21T21:29:05,INDOWIND,ok,2/56 fields blank
2026-07-21T21:29:08,INSPIRISYS,ok,1/56 fields blank
2026-07-21T21:29:11,IVP,ok,4/56 fields blank
2026-07-21T21:29:14,JAIBALAJI,ok,2/56 fields blank
2026-07-21T21:29:16,JKIPL,ok,3/56 fields blank
2026-07-21T21:29:19,JOCIL,ok,4/56 fields blank
2026-07-21T21:29:22,KAKATCEM,ok,4/56 fields blank
2026-07-21T21:29:25,KALYANI,ok,19/56 fields blank
2026-07-21T21:29:28,KAMDHENU,ok,4/56 fields blank
2026-07-21T21:29:48,KANCHI,ok,30/56 fields blank
2026-07-21T21:29:51,KANORICHEM,ok,1/56 fields blank
2026-07-21T21:29:54,KAUSHALYA,ok,15/56 fields blank
2026-07-21T21:29:57,KECL,ok,3/56 fields blank
2026-07-21T21:30:00,KESORAMIND,ok,2/56 fields blank
2026-07-21T21:30:03,KHADIM,ok,2/56 fields blank
2026-07-21T21:30:06,KHAICHEM,ok,7/56 fields blank
2026-07-21T21:30:09,KHAITANLTD,ok,2/56 fields blank
2026-07-21T21:30:12,KILITCH,ok,2/56 fields blank
2026-07-21T21:30:15,KOPRAN,ok,2/56 fields blank
2026-07-21T21:30:18,KOTYARK,ok,2/56 fields blank
2026-07-21T21:30:20,KRIDHANINF,ok,7/56 fields blank
2026-07-21T21:30:23,KRITI,ok,2/56 fields blank
2026-07-21T21:30:26,KRITINUT,ok,4/56 fields blank
2026-07-21T21:30:29,KRN,ok,3/56 fields blank
2026-07-21T21:30:32,KSHITIJPOL,ok,4/56 fields blank
2026-07-21T21:30:54,LAKPRE,ok,31/56 fields blank
2026-07-21T21:30:57,LATTEYS,ok,3/56 fields blank
2026-07-21T21:30:59,LAXMIINDIA,ok,5/56 fields blank
2026-07-21T21:31:03,LIKHITHA,ok,2/56 fields blank
2026-07-21T21:31:06,LOKESHMACH,ok,1/56 fields blank
2026-07-21T21:31:08,LYKALABS,ok,14/56 fields blank
2026-07-21T21:31:11,MADHUCON,ok,6/56 fields blank
2026-07-21T21:31:14,MAHESHWARI,ok,3/56 fields blank
2026-07-21T21:31:17,MANAKSTEEL,ok,4/56 fields blank
2026-07-21T21:31:20,MANORG,ok,9/56 fields blank
2026-07-21T21:31:23,MANUGRAPH,ok,4/56 fields blank
2026-07-21T21:31:26,MARALOVER,ok,2/56 fields blank
2026-07-21T21:31:29,MASKINVEST,ok,6/56 fields blank
2026-07-21T21:31:32,MAWANASUG,ok,2/56 fields blank
2026-07-21T21:31:35,MAZDA,ok,4/56 fields blank
2026-07-21T21:31:38,MBLINFRA,ok,3/56 fields blank
2026-07-21T21:31:40,MCLEODRUSS,ok,4/56 fields blank
2026-07-21T21:31:44,MEIL,ok,3/56 fields blank
2026-07-21T21:31:47,MENONBE,ok,7/56 fields blank
2026-07-21T21:31:50,MEP,ok,6/56 fields blank
2026-07-21T21:31:53,MERCURYEV,ok,8/56 fields blank
2026-07-21T21:31:56,MGEL,ok,1/56 fields blank
2026-07-21T21:31:59,MICEL,ok,3/56 fields blank
2026-07-21T21:32:02,MITCON,ok,4/56 fields blank
2026-07-21T21:32:05,MMWL,ok,4/56 fields blank
2026-07-21T21:32:08,MODINATUR,ok,1/56 fields blank
2026-07-21T21:32:11,MODISONLTD,ok,8/56 fields blank
2026-07-21T21:32:14,MORARJEE,ok,10/56 fields blank
2026-07-21T21:32:17,MOTOGENFIN,ok,14/56 fields blank
2026-07-21T21:32:20,MTEDUCARE,ok,5/56 fields blank
2026-07-21T21:32:23,MUKTAARTS,ok,5/56 fields blank
2026-07-21T21:32:26,NAGREEKCAP,ok,2/56 fields blank
2026-07-21T21:32:29,NAHARSPING,ok,2/56 fields blank
2026-07-21T21:32:32,NAVKARURB,ok,2/56 fields blank
2026-07-21T21:32:35,NECCLTD,ok,2/56 fields blank
2026-07-21T21:32:38,NECLIFE,ok,4/56 fields blank
2026-07-21T21:32:41,NEUEON,ok,3/56 fields blank
2026-07-21T21:32:44,NGIL,ok,3/56 fields blank
2026-07-21T21:32:47,NIMBSPROJ,ok,22/56 fields blank
2026-07-21T21:32:49,NINSYS,ok,2/56 fields blank
2026-07-21T21:32:52,NIRAJ,ok,2/56 fields blank
2026-07-21T21:32:56,NOIDATOLL,ok,7/56 fields blank
2026-07-21T21:32:58,NOVAAGRI,ok,2/56 fields blank
2026-07-21T21:33:01,NRL,ok,4/56 fields blank
2026-07-21T21:33:04,OCCLLTD,ok,18/56 fields blank
2026-07-21T21:33:07,ODIGMA,ok,8/56 fields blank
2026-07-21T21:33:10,OILCOUNTUB,ok,2/56 fields blank
2026-07-21T21:33:13,OMAXAUTO,ok,2/56 fields blank
2026-07-21T21:33:16,OMFREIGHT,ok,4/56 fields blank
2026-07-21T21:33:19,ONELIFECAP,ok,2/56 fields blank
2026-07-21T21:33:22,ONIDA,ok,9/56 fields blank
2026-07-21T21:33:25,ONMOBILE,ok,4/56 fields blank
2026-07-21T21:33:27,ORBTEXP,ok,2/56 fields blank
2026-07-21T21:33:48,ORTEL,ok,34/56 fields blank
2026-07-21T21:33:52,ORTINGLOBE,ok,3/56 fields blank
2026-07-21T21:33:56,OSIAHYPER,ok,8/56 fields blank
2026-07-21T21:33:59,OSWALAGRO,ok,6/56 fields blank
2026-07-21T21:34:02,PALREDTEC,ok,5/56 fields blank
2026-07-21T21:34:05,PARSVNATH,ok,8/56 fields blank
2026-07-21T21:34:07,PASUPTAC,ok,2/56 fields blank
2026-07-21T21:34:10,PATINTLOG,ok,7/56 fields blank
2026-07-21T21:34:13,PAVNAIND,ok,2/56 fields blank
2026-07-21T21:34:16,PEARLPOLY,ok,5/56 fields blank
2026-07-21T21:34:19,PENINLAND,ok,3/56 fields blank
2026-07-21T21:34:22,PFOCUS,ok,2/56 fields blank
2026-07-21T21:34:25,PILITA,ok,7/56 fields blank
2026-07-21T21:34:28,PLAZACABLE,ok,2/56 fields blank
2026-07-21T21:34:31,PPL,ok,2/56 fields blank
2026-07-21T21:34:52,PRADPME,ok,30/56 fields blank
2026-07-21T21:34:54,PRAXIS,ok,6/56 fields blank
2026-07-21T21:34:57,PREMIER,ok,15/56 fields blank
2026-07-21T21:35:00,PRITI,ok,4/56 fields blank
2026-07-21T21:35:03,PRITIKAUTO,ok,2/56 fields blank
2026-07-21T21:35:06,PRUDMOULI,ok,18/56 fields blank
2026-07-21T21:35:09,QPOWER,ok,3/56 fields blank
2026-07-21T21:35:12,QUICKHEAL,ok,5/56 fields blank
2026-07-21T21:35:15,RACE,ok,2/56 fields blank
2026-07-21T21:35:18,RAJESHEXPO,ok,3/56 fields blank
2026-07-21T21:35:20,RAJOOENG,ok,12/56 fields blank
2026-07-21T21:35:23,RAJRILTD,ok,2/56 fields blank
2026-07-21T21:35:26,RAMASTEEL,ok,2/56 fields blank
2026-07-21T21:35:30,RAMBHAJO,ok,3/56 fields blank
2026-07-21T21:35:33,RCOM,ok,6/56 fields blank
2026-07-21T21:35:36,REGAAL,ok,3/56 fields blank
2026-07-21T21:35:39,REPL,ok,4/56 fields blank
2026-07-21T21:35:42,RHFL,ok,9/56 fields blank
2026-07-21T21:35:44,ROLLT,ok,6/56 fields blank
2026-07-21T21:35:47,RSSOFTWARE,ok,4/56 fields blank
2026-07-21T21:35:50,RSWM,ok,2/56 fields blank
2026-07-21T21:35:53,RUBYMILLS,ok,2/56 fields blank
2026-07-21T21:35:56,RUDRA,ok,2/56 fields blank
2026-07-21T21:35:58,SABEVENTS,ok,22/56 fields blank
2026-07-21T21:36:01,SADBHIN,ok,6/56 fields blank
2026-07-21T21:36:04,SADHNANIQ,ok,3/56 fields blank
2026-07-21T21:36:07,SAKUMA,ok,3/56 fields blank
2026-07-21T21:36:10,SALSTEEL,ok,3/56 fields blank
2026-07-21T21:36:13,SANGINITA,ok,4/56 fields blank
2026-07-21T21:36:15,SANWARIA,ok,4/56 fields blank
2026-07-21T21:36:18,SARVESHWAR,ok,2/56 fields blank
2026-07-21T21:36:22,SEJALLTD,ok,1/56 fields blank
2026-07-21T21:36:25,SEMAC,ok,4/56 fields blank
2026-07-21T21:36:28,SETCO,ok,9/56 fields blank
