symbol,financial_currency,currency_flag,periods_available,ebit,total_liabilities,ni_0,ni_1,cfo_0,cfo_1,ta_0,ta_1,ltd_0,ltd_1,ca_0,ca_1,cl_0,cl_1,rev_0,rev_1,cogs_0,cogs_1,shares_0,shares_1,ar_0,ar_1,ppe_net_0,ppe_net_1,ppe_gross_0,ppe_gross_1,dep_0,dep_1,sga_0,sga_1,sti_0,sti_1,error_reason
RNBDENIMS,INR,OK,5,399735000.0,1041774000.0,247618000.0,274740000.0,89566000.0,232161000.0,3562984000.0,3176703000.0,164567000.0,166668000.0,2167960000.0,2099185000.0,826105000.0,984144000.0,4572817000.0,3636569000.0,3536755000.0,2395151000.0,269920320.0,269920320.0,878801000.0,631417000.0,991136000.0,917676000.0,991136000.0,1575437000.0,176808000.0,164617000.0,,86717000.0,288321000.0,,
ROHLTD,INR,OK,5,771983000.0,7660958000.0,321846000.0,472448000.0,822630000.0,246915000.0,10416492000.0,5381843000.0,824962000.0,789079000.0,1790813000.0,1230731000.0,1463350000.0,991759000.0,3841505000.0,3194702000.0,1379949000.0,1149873000.0,27425215.0,27425215.0,378287000.0,371956000.0,7147158000.0,2522774000.0,7147158000.0,5014510000.0,356009000.0,207267000.0,,156602000.0,890940000.0,355817000.0,
ROLEXRINGS,INR,OK,5,1917320000.0,1575690000.0,1410980000.0,1739970000.0,1895850000.0,2272440000.0,13711460000.0,12822080000.0,,,8480880000.0,7797680000.0,1023330000.0,1682070000.0,11434950000.0,11548020000.0,5547380000.0,5846290000.0,272333120.0,27233312.0,2196270000.0,1926850000.0,4848060000.0,4889430000.0,4848060000.0,6642440000.0,371250000.0,404200000.0,,579500000.0,3026160000.0,2800760000.0,
ROML,INR,OK,5,55475000.0,404056000.0,46680000.0,26968000.0,60471000.0,2808000.0,425590000.0,414085000.0,0.0,1035000.0,233218000.0,223280000.0,392364000.0,418469000.0,1513708000.0,1144556000.0,1286081000.0,956517000.0,14988684.0,14988684.0,105263000.0,91662000.0,161503000.0,169099000.0,161503000.0,524962000.0,14306000.0,19051000.0,,31077000.0,1519000.0,1433000.0,
ROSSARI,INR,OK,5,2310580000.0,9554430000.0,1492130000.0,1363780000.0,650680000.0,1374430000.0,22887920000.0,18961840000.0,943260000.0,1000320000.0,12359000000.0,10419270000.0,7895580000.0,5365720000.0,23898180000.0,20714570000.0,16841380000.0,14495570000.0,55383366.0,55363766.0,5574130000.0,4745040000.0,7556120000.0,5557250000.0,10052220000.0,7570050000.0,791240000.0,670730000.0,1383360000.0,1227690000.0,376240000.0,608540000.0,
ROSSELLIND,INR,OK,5,242900000.0,946100000.0,158600000.0,196900000.0,284600000.0,325800000.0,2943600000.0,3071291000.0,374800000.0,427500000.0,518400000.0,664481000.0,544000000.0,720589000.0,2206900000.0,1773500000.0,355300000.0,258100000.0,37696475.0,37696475.0,8400000.0,1825000.0,2226000000.0,2200916000.0,2226000000.0,2186200000.0,51800000.0,46700000.0,,38141000.0,300500000.0,406845000.0,
ROSSTECH,INR,OK,3,529386000.0,4760965000.0,218925000.0,79065000.0,-827981000.0,-411290000.0,6309579000.0,4228957000.0,0.0,0.0,5043777000.0,3055816000.0,4691697000.0,2838423000.0,4851166000.0,2596721000.0,3027369000.0,1404343000.0,37696475.0,37696475.0,1164837000.0,731074000.0,1099771000.0,1013405000.0,1099771000.0,1448297000.0,137493000.0,104842000.0,,94288000.0,,,
ROTO,INR,OK,5,399013000.0,1059486000.0,247568000.0,337957000.0,368441000.0,361718000.0,3462003000.0,3196959000.0,9212000.0,27643000.0,2075925000.0,1883139000.0,941455000.0,832191000.0,2846475000.0,2938720000.0,880191000.0,979723000.0,188445660.0,188445660.0,747468000.0,727410000.0,1230630000.0,1170147000.0,1230630000.0,1170148000.0,165447000.0,186690000.0,,226211000.0,82755000.0,1741000.0,
ROUTE,INR,OK,5,3638600000.0,7346100000.0,2390200000.0,3188500000.0,5811600000.0,6024800000.0,35562300000.0,38257200000.0,,0.0,25469300000.0,27360600000.0,6611300000.0,12945600000.0,44082100000.0,45756200000.0,34009000000.0,36247200000.0,63003082.0,62997582.0,9094000000.0,9327700000.0,731800000.0,637700000.0,731800000.0,1733700000.0,916100000.0,890800000.0,,636000000.0,5539100000.0,2128800000.0,
RPEL,INR,OK,5,702151000.0,393932000.0,548030000.0,369736000.0,370004000.0,386834000.0,2839097000.0,2312105000.0,37462000.0,54112000.0,1694344000.0,1356856000.0,300539000.0,274028000.0,2542533000.0,1974679000.0,904051000.0,665911000.0,45911960.0,45905200.0,582151000.0,511714000.0,1016932000.0,949672000.0,1324950000.0,1190880000.0,70086000.0,64532000.0,819167000.0,712708000.0,415256000.0,348539000.0,
RPGLIFE,INR,OK,4,1550900000.0,1878100000.0,1151700000.0,1832400000.0,565000000.0,778600000.0,7931600000.0,6578100000.0,133300000.0,,5594800000.0,4652500000.0,1605700000.0,1198300000.0,7020000000.0,6475400000.0,2618500000.0,2239200000.0,16539015.0,16539015.0,1166800000.0,867600000.0,2117200000.0,1651300000.0,2729200000.0,2122200000.0,214800000.0,214300000.0,752300000.0,729300000.0,1239100000.0,2359000000.0,
RPOWER,INR,OK,5,15213200000.0,252531700000.0,-3368900000.0,29478300000.0,284243600000.0,19379200000.0,412925900000.0,412829200000.0,99555200000.0,102590700000.0,47109000000.0,42836200000.0,101806500000.0,96365500000.0,76197100000.0,75828900000.0,37991100000.0,38920000000.0,4135770966.0,4016970966.0,13101000000.0,15213900000.0,326335100000.0,332920400000.0,326335100000.0,537771200000.0,10098700000.0,10960200000.0,12249500000.0,13823500000.0,8629600000.0,8997300000.0,
